Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on February 25, 2021",Mike,yes,yes,Is this real?,"I am a Registered Nurse that recently treated a post surgical knee replacement patient.  My patient swore by these.  She made me look them up on Amazon.  She was not taking her ordered narcotic pain meds because she was taking these gummies.  I’ve seen acute and chronic pain (real pain).  I’ve worked in all hospital settings.  But, never do I see CBD prescriptions.  She was very convincing.I myself have back pain from herniated discs and foot pain from flat feet.  I bought some.  I take one gummy after dinner.My pain and leg stiffness has decreased, foot pain has decreased, and I sleep through the night.  How much a difference?  I think my pain levels went from a 7 to a 3 (maybe my pain levels will continue to get even better!).  My point, immediate results after 1 gummy.  It’s been 3 days now, 1 gummy a day.  I do not know long term results but as of now they have noticeably helped me with my pain, inflammation, lower back pain, sleep, and stress.  I did a little research but with more motivation and with a open mind.  I couldnt find anything negative about cbd oil.  There are so many benefits.  So I searched tolerance and addiction.  Have to find a down side to this too good to be true situation, right?  Again, all positive.  In  fact, tolerance is not a factor due to its chemical differences with how natural cbd oil “binds” to “pain receptors” compared to the way manufactured chemically made medications bind to pain receptors.  There is no tolerance or dependence.  The only real caution is buying from a reputable company that doesn’t include “junk” or THC in their product.  They do sell cbd oil with THC and that’s beneficial too but in different medical sub acute ways.  This brand is AMERICAN MADE, no THC, made in a FDA approved facility.  So far my experience is positive, almost to the point of complete surprise. It’s early but I think we’re gonna start to see cbd prescriptions as common as we see metoprolol.  Is this real, I say to myself?  Time will tell.  As of now, yes.  Thank you for your help.",5,-,-,https://www.amazon.com/gp/customer-reviews/R3PSGDZSQ7I11R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on May 11, 2021",Walter Prochorenko,yes,yes,Where's the Hemp?,"According to the label, there does not appear to be any hemp at all in this product.  First of all the ""Supplement Facts"" ingredients does not mention any hemp. Also of the 7 ingredients listed 5 of the 7 show 0%.  0%% is ""nothing""  so what is one paying for?  Secondly, the 9000 in bold numbers on the label also is misleading as it does not refer to anything at all. Is this a model number?  It certainly does not explain what this is.  Thirdly $34.95 for ""candy"" is a ridiculous price.  Another part of the label does show hemp oil extract, but does not indicate any quantity.  It could be just trace amounts, or just vapor.  This appears to be a complete falsehood.",1,-,-,https://www.amazon.com/gp/customer-reviews/R168ULOXRMU9O7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on October 29, 2020",Memly,yes,yes,"Effective, Delicious, USA Made Gummies That Help Me Stay Asleep At Night and Wake Up Refreshed","These are wonderful and I'm glad I found them.1. The price for two bottles is excellent2. Grown and made in the USA3. Strong and effective. I was taking two or more of a previous other brand but with these, I only need one to help me sleep through the night and wake up refreshed with zero grogginess4. Non habit forming. I take one almost everyday because I sleep great when I do. But I can take them... Or not. There are plenty of nights when I am naturally tired and don't need this. Or nights when I just forget4. Great taste and flavors. They are like delicious sour gummies. No weird aftertaste. I have to remind myself that I can only have one!5. Well packaged and lighting fast shipments from this company. I've ordered twice already and my gummies always arrive ahead of scheduleIf you are taking them to help you sleep like I am, note they take 1-2 hours to kick in. I take mine after dinner and have about a 2 hour window to wind down for bed. I shower, put my kids to bed, read or watch tv, then start to feel drowsy at just the right time.These are not like sleeping pills. They don't knock me out completely. I can power through if something comes up. I have never slept through alarms, phone calls, kids crying, emergencies, etc. I am able to wake up whenever I need to, whether I'm one hour into my sleep or 5 or more. I feel safe taking them and still be able to wake up and take care of my children. If my sleep is disturbed, I can actually fall back asleep more easily as well. This is great because I co-sleep with my 2 year old who is is constantly rolling around and kicking me in her sleep. I'll wake up, be able to check if she's ok, then I can go right back to sleep. So awesome!These do contain sugar. Each gummy is 10 calories.  I am going to try the gel capsules from this brand next, so I'm not ingesting sugars before bed.",5,-,-,https://www.amazon.com/gp/customer-reviews/R19PTH1A862JMO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on January 3, 2023",peter wells,yes,yes,Miraculous results so far.,"As someone who has suffered from insomnia for several years, I feel compelled to share my experience with this product. For me, it has been nothing short of miraculous. I take one gummy about a half hour before going to sleep I sleep through the night and most importantly I’ve been able to give up taking Ambien (zolpadem) which can have several serious side effects. Grateful.",4,-,-,https://www.amazon.com/gp/customer-reviews/RGO4HCK7VJCXG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on July 30, 2022",Skylark Poems,yes,yes,They work but.,"Contrary to what one reviewer who stated that it lists no hemp, the first ingredient is hemp oil. I can certify that they do work. But I need to take two gummies in the a.m. and two in the p.m. Each person has a different metabolism. I have been prescribed 300mg of Tylenol3 for my continuous pain. These worked well enough that I stopped taking the T3 for a few days, but the result was sharp pain at the worst time, bedtime. So these work as a top off to my T3, without them the T3 does not eliminate my pain. But without T3 these do not work for my level of pain. If what you are looking for is relaxation and nerve relief I can recommend these because they have worked for me. I gave a four star review because Of having looked in vain for a natural replacement for the T3 without success. However these are the best I have found after trying many CBD, and Hemp Gummies.",4,-,-,https://www.amazon.com/gp/customer-reviews/R3J0HRR7W2WTPI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on October 31, 2020",marpar,yes,yes,not for me,"when they finally arrived the package had to be cut open, it was packed well but very tight. the gummies do not have as much hemp mg. as the ones I was taking. the bottle did not show the mg. it just does not work for me. i hoped it would work as the price was very good, too bad the gummy's were not. i did get a refund because i tried to cancel the order, they gave me a refund quickly but no way to send them back as the packing was cut.",1,-,-,https://www.amazon.com/gp/customer-reviews/R2Y6XUMFL5S53X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on February 15, 2021",Bob Richards,yes,yes,A Godsend for the insomniac.,"I drank a quinzupple martini nightly to sleep for maybe 4.5 decades.Recently our youngest son gave me a few of these to try.  I was more than skeptical, since tranquilizers don’t even work.No exaggeration.  This has been life changing.  I’m 67, play BBall 3 times/week, and I’ve been at 250-270 most of my adult life.  I’m very tall with a big build, but no matter how you slice it, overweight. Knees are killing me.Well, these gummies are amazing.  Took one, and had to go to bed within an hour. I SLEPT!  Now, I don’t want to drink either.  Gummies seem to be rendered less effective with booze.  And, I Don’t need to drink.  Body ain’t what it used to be.Had my check up last week and weighed in at 232.I was sure the scale was fouled up, but no.  I’m now 228 and my wife is happy as heck; but also miffed cuz I’m losing faster than her.  She’s now making lots of great pasta dishes, devils food cake and homemade chocolate chip cookies trying to fatten me up.But it was the alcohol that kept me fat, not food.All that is true incidentally.  These things are awesome.  Wish they’d had them available long ago..  who’d of ever thought an old codger like me would finally lose weight with “rope gummies”.What a blessing.Bob",5,-,-,https://www.amazon.com/gp/customer-reviews/R247DEDGM3A4SR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on July 8, 2023",Colossus,yes,yes,Great Product but they changed the formulation,I've been using this product for over a year to help me sleep.  I have a hard time falling asleep and staying asleep.  I take 2 gummies and it's the best sleep.  I fall asleep easily and will sleep straight through until morning every single night.My one and only complaint is the formulation was changed recently and I don't care for it.  The original formula was more of a gummy and had good flavors.  The new formula is more like a fruit chew and has more of a chemical taste.  I really hope they change back to the original formula because it's put me in the mindset to shop around for something else.,4,-,-,https://www.amazon.com/gp/customer-reviews/R2R6B7W8IEX765/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on May 25, 2021",Valencia Whitehead,yes,yes,Will Keep Using To See What Happens,"I was SO looking forward to these gummies after reading the positive reviews about better sleep, reduced pain and improved mood. On the positive side, I did not find them too tart or foul tasting at all. They tasted a bit like Sour Patch Kids (which I crave) but not as tangy, and I loved that they were so colorful.However, I dislike that there’s nothing to keep them from sticking together and clumping. Maybe I should have refrigerated them immediately. Didn’t see anything in the instructions so I’ve kept them on my desk and our air conditioner is almost always running to keep the house cool.To be fair, they state that the recommended dosage is 1-2 pieces. I’m a big, tall woman (5’ll and 245 lbs) so I took 3, the first day. I had a good night’s sleep and felt super optimistic, based on those results, so I took 3 again the following night, being careful not to exceed 4 pcs every six hours, per instructions. The results were not the same, unfortunately.As it relates to reducing discomfort, I suffer from neck, knee and back pain, neuropathy, depression and anxiety. The gummies appeared to help minimize my racing thoughts that first night and actually, I think it has helped very well with that, so I feel the product probably does “take the edge off” and provide the benefit of “mood support” as the claim suggests.My disappointment relates to the failure to address my aching and soreness.  Everything still hurts so much! I tried reducing the dosage to two, and felt I was no longer able to experience the mood benefits so I’m back to 3 pieces each night about two hours before bedtime. I’ll continue to use and will update if I experience any decreased pain!",3,-,-,https://www.amazon.com/gp/customer-reviews/RDWVYNDNHABFT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on July 9, 2021",Patricia Pearce,yes,yes,"i am amazed, you might be too.","I have spent the last 10 years living with chronic pain in my knees, hips, and ankles.  I also suffered from insomnia.  there were more nights in the week when I didn't sleep at all than the nights where i got 4 hours before going to work.  My work was stressful by nature, and then i suffered the loss of my older child, my son, so needless to say stress and anxiety were through the roof, only complicating everything else.  I had been on all sorts of pharma for years and nothing helped me.  I just kept declining.  After a friend suggested I try these, my pain in nearly non-existent and my stress is gone.  I sleep soundly and the nightly nightmares are gone.  I wake up feeling refreshed, relaxed and ready to fact whatever comes my way.  the tremors are gone too along with 6 of the 9 prescriptions!  thank you New Age, your product has given me back my quality of life!",5,-,-,https://www.amazon.com/gp/customer-reviews/RZBFQO5QXL1D3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
