"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on March 5, 2019","Gregory Paul McCarthyGregory Paul McCarthy","yes","yes","Relief in four (4) days...beats your ""seven days"" by almost half!","Years ago--maybe 20 or more--I used G/C and found relief. My memory is getting old, but it probably took three or so weeks for the G/C to provide comfort for my knees which were taking a hit from running. I have stopped running about three (3) Mays ago because the discomfort to the knees was something that did not respond to a 'mind over matter' practice. In December, I mentioned to my chiropractor when he asked me: How's it going? I said that my knees were bothering me in some of my yoga stances when I had to bend the knees. His respons was: ""Don't do it!"" He made that command into a mantra nearly. I just wanted to tell him: Alright, already. Short story: I looked on the internet and found your product (Flexuron) there. I was intrigued by the 'seven day' effect. Furthermore, I had heard Chris Kelham (sp) on the Terry and Joe Graedon ""Peoples' Pharmacy"" some weeks (perhaps months) back talk about homeopathic aids. I was impressed with Chris' pedagree (also from the internet). So, I succumbed to Amazon's free delivery for January customers (Yes, I ordered from Amazon for the first time in my life!) Subsequently, I have reordered. I know have three (3) Flexuron bottles. My knees are doing well--especially the right one which got most of my attention. Lastly, I was pleased that a 'sore' spot on the left side of my pelvis (which was tender when I laid on my back) was greatly reduced in 'tenderness'. I had wondered why the chiropractor could just not pop that pelvis in line and obviate the pain. Now, it seems that it was not a case of adjustment but of something else that Flexuron was able to 'attack'. Enough...thanks for the opportunity to sound off. GMcCarthy 03/05/2019 from Irving, Texas",5,"https://images-na.ssl-images-amazon.com/images/I/41RUzSve9GL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2O8FQVCK9EOQ1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on December 22, 2019","Amazon Customer","yes","yes","Flexuron is working for me! :)","I have OA (a form of arthritis) and have tried so many supplements, etc with no relief.  I decided to try flexuron and told myself this is the last product I'm spending my hard earned money on with no results. I read the reviews on Amazon and decided to go for it. I've only been taking 2 a day for 5 days and already pleased with the results.  I have trouble sleeping because of my arthritis pain and flexuron has lowered my pain level and I am now getting 6 to 7 hours of sleep these last few nights.  I am pleased with my results so far and will continue taking and purchasing Flexuron.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2WB0OSDAM8WAU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on November 15, 2019","Linda G Roundtree","yes","yes","Great product","I was on my usual walk one day when I noticed that I was not having my usual back pain.  I was amazed  Previously I had had to wear a flexible back brace in order to walk for any short length of time and have painful stiffness and a burning sensation in the abdominal muscle wall.  The only difference I had made was taking Flexuron.  Again I was amazed and very pleased.  I like that I only have to take one per day.  Other joint relief supplements are taking 2 twice per day or even more with a well advertised pain relief supplement.  I whole heartedly recommend this for anyone with joint or back pain",5,"-","-","https://www.amazon.com/gp/customer-reviews/RH496I2D8NUWV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on June 1, 2019","Robin","yes","yes","Doesn't work","Product did not do what is advertised to do. I would not recommend and the price is to high. For a product that doesn't work.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3EUTHV39J952C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on September 3, 2023","T. Light","yes","yes","Want a real world Review, here it is...","When I first heard about this stuff, I kinda passed it off. I mean, How many ads do we see for magic pills that don't work? Also, everything I read about it said good for ""Joints, Joints, Joints"".. but the only ""Joint"" I could read about from the company or reviews was about knees. My knees are relatively OK. My Right HIP however, lemme tell ya. when I hit 40 I started getting HORRIBLE leg issues where I could not even walk. I was on crutches having to kick my right leg forward to take a step. It would seemingly get better, then flair up again. Turns out it was my Hip. I got x-rays and the synovia fluid around my right hip is a wafer thin layer as compared to my seemingly1/4 thick line around my left. I was told I WILL need hip replacement in my life. But now being only 49, not recommended to get it now.So lemme tell you what I experience.  When my hip decides to be a bastard, it will be totally fine and I will just move a certain way ( which is not a consistent move by the way, its random ) and it feels like the ball in my hip has a shard on it that ""catches"" the inside of my leg causing extreme pain, and a ""locking"" sensation. I will then be pain to move or step or do anything for a while then it will just  subside for no reason.. I cannot take a step first with my right leg, if I go up a curb I cannot step up and put the weight of my body on it, I have to go left foot step first. If I find myself on a ladder, I have to step left, bring up my right to same step, step up left...etc.Anyway, I have taken Glucosamine and it ""....helped?"" I guess but not enough for me to consistently think about and take it regularly enough.SO Ultimately I decided to give this Flexuron a try.the pills have a chocolate look and taste to them to me. Smooth small to medium size and easy to swallow. I decided to take daily around 6-7pm. My result are as follows now going through 1/2 the pack ( 15 days)On third day I started feeling a difference in my hip, it just felt... better.On fourth day I was able to take steps first with my right AND actually step up onto curbs with my right leg sans any pain.by the seventh day ( how many days before you are supposed to feel better ) My hip was feeling real goodEvery day since I am much more able and strong with my hip. It still gets testy once in a while, but even that the frequency and how long the pain lasts is MUCH shorter. I am not healed, but I am CERTAINLY feeling much betterSo, I took a chance for a part of the body I could NOT get to come up in any ad or review that I saw. And I am SOOOOOO glad I did.I don't think it will get me to where I can run, or work out, or do a lot of leg stuff. but it has ABSOLUTLEY brought some quality back to my normal day to day needs.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RNQ4OVO99XEVH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on July 13, 2023","Patricia Douglas","yes","yes","Flexuron Daily Joint Care","I ordered it for my knee. I had a lot of pain and it was difficult for walk if l didn’t use my cane. I saw the advertisement for flexuron.  I had  bought a lot of creams to knee support nothing work so I decided to order it. I have taken it for 3 weeks now. The pain is almost gone and sometimes, don’t need my cane most of the time. I will be ordering it again soon.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2EFCZN0C2PKNL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on May 28, 2022","Kathleen Cox","yes","yes","SUCCESS","I AM THE REAL DEAL..I ONLY HONEST GIVE REVIEWS!!! Having spent so much time and money trying to get relief from pain in my knee I thought I would try one more thing before giving up and going to doctor for injections. Wow!! I am on day 5 and walking without a limp. I can still feel some pain but what an improvement!! I picture myself being able to peddle my cubie in a months time!  (the cubie was another hopeful investment but pain kept me from being able to peddle) I have ordered next months supply and husband is watching me closely also. If he becomes a believer he will be ordering for his shoulder and ankle pain. Being a skeptic because of all the remedies I have purchased in the past he wants to be 100% convinced..I say try it..its cheaper than an office call and prescriptions! If for some reason it fails to meet your expectations...the doctor and drug store will still be there!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3CABUJUQXHZ1H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on July 13, 2023","Retta","yes","yes","IT HELPS!!!","I have received the one main ingredient in this product through injections in the past. I decided to try in supplement form and it does help quite a bit. I try to take one every day without fail and if I forget my knee reminds me. So I take one a day. The ingredient I received was hyal uronic acid , I am trying to avoid knee replacement.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2LMU7ZFPR0JO5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on March 18, 2023","Mimi Osborne","yes","yes","Flexuron has helped my knee","Flexuron has helped my knee to not hurt so much since it's almost bone on bone.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2IVVAKGVINVGB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on December 15, 2022","yvettemarie16","yes","yes","Magic pill","I rarely write reviews but this product worked magic for me. Truly unbelievable how well this worked. I have chronic shoulder issues and for over a year have dealt with the pain and immobility, I’ve had MRI (very expensive) and Dr only want to shoot me up with steroid shots which I refused, massage therapy, physical therapy…you name it. Therapy helped some. I just learned to live with it. Then I saw an ad for this pop up and something pushed me to try it. Holy moly I’m glad I did. Within ONE FREAKING DAY I felt significant improvement! Within a couple days I’m feeling like I have most of my mobility back and almost no pain, HOW? HOW??? In a couple little pills!? I mean what kind of voodoo is this?! I only wish I had discovered this sooner because the past year has been horrible. I also pulled something in my hip flexor a week I started this and it cured that too. It’s truly amazing. To have such improvement is just a few days…INCREDIBLE. I hope it works for you like it does for me!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3V5SH6WO7CVMO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
